date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:18	136394/136394	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-214ca%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/font-awesome.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/font-awesome.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:18	63638/63638	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-f896%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/simple-line-icon.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/simple-line-icon.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:19	64677/64677	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-fca5%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/themify.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/icons/themify.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:19	31742/31742	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-7bfe%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/mapael.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/mapael.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:19	30380/30380	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-76ac%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/vector-map.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/vector-map.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:19	33592/33592	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-8338%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/google-maps.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/maps/google-maps.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:20	3582/3582	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-dfe%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/login.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/login.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:20	4876/4876	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-130c%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/login-2.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/login-2.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:20	3892/3892	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-f34%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/register.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/register.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:20	5351/5351	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-14e7%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/register-2.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/register-2.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:21	2576/2576	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-a10%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/lock-screen.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/lock-screen.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:21	2666/2666	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-a6a%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/error-404.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/samples/error-404.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
